Наименование услуги;Ссылка;Пометки;Заголовок ПОП Ап;Текст ПОП Ап;Текст кнопки ПОП АП;Ссылка, куда ведет ;
Лицензия ФСБ;https://licenzii.org/moscow/licenzia-fsb/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии ФСБ под ключ?;Бесплатный расчет ;https://goo.gl/forms/PlrWiLbJPzwDx8Zx2;
Лицензия на алкоголь;https://licenzii.org/moscow/licenziya-na-alkogol/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии на алкоголь под ключ?;Бесплатный расчет ;нет теста;
Фармацевтическая лицензия;https://licenzii.org/moscow/farmacevticheskaya-licenziya/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости фармацевтической лицензии под ключ?;Бесплатный расчет ;нет теста;
Лицензия Минкультуры;https://licenzii.org/moscow/licenziya-minkultury/;8;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии Минкультуры под ключ?;Бесплатный расчет ;https://goo.gl/forms/lExMUvNJQaWumXyx2;
Атомная лицензия Ростехнадзора;https://licenzii.org/moscow/licenziya-rostehnadzora/;8;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Атомной лицензии Ростехнадзора под ключ?;Бесплатный расчет ;нет теста;
Образовательная лицензия;https://licenzii.org/moscow/obrazovatelnaya-licenziya/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Образовательной лицензии под ключ?;Бесплатный расчет ;нет теста;
Лицензия ЧОП;https://licenzii.org/moscow/licenziya-chop/;8;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии ЧОП под ключ?;Бесплатный расчет ;нет теста;
Лицензия на транспортировку отходов;https://licenzii.org/moscow/licenziya-na-transportirovku-othodov/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии на транспортировку отходов под ключ?;Бесплатный расчет ;https://goo.gl/forms/q0ZUG7VRFUIvwa5k2;
Лицензия на размещение отходов;https://licenzii.org/moscow/licenziya-na-razmeshenie-othodov/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии на размещение отходов под ключ?;Бесплатный расчет ;https://goo.gl/forms/q0ZUG7VRFUIvwa5k2;
Лицензия на сбор отходов;https://licenzii.org/moscow/licenziya-na-sbor-othodov/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии на сбор отходов под ключ?;Бесплатный расчет ;https://goo.gl/forms/q0ZUG7VRFUIvwa5k2;
Медицинская лицензия;https://licenzii.org/moscow/medicinskaya-licenziya/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  медицинской лицензии под ключ?;Бесплатный расчет ;нет теста;
Лицензия на отходы;https://licenzii.org/moscow/licenziya-na-othody/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии на отходы под ключ?;Бесплатный расчет ;https://goo.gl/forms/q0ZUG7VRFUIvwa5k2;
Лицензия на геодезические работы;https://licenzii.org/moscow/licenziya-na-geodezicheskie-raboty/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии на геодезические работы под ключ?;Бесплатный расчет ;нет теста;
Лицензия ФСБ на криптографию;https://licenzii.org/moscow/licenziya-fsb-na-kriptografiyu/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии ФСБ на криптографию под ключ?;Бесплатный расчет ;нет теста;
Лицензия на тахографы;https://licenzii.org/moscow/licenziya-na-tahografy/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии на тахографы под ключ?;Бесплатный расчет ;нет теста;
Лицензия автошколы;https://licenzii.org/moscow/licenziya-avtoshkoly/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии автошколы под ключ?;Бесплатный расчет ;нет теста;
Лицензия ЖКХ;https://licenzii.org/moscow/licenziya-zhkh/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии ЖКХ  под ключ?;Бесплатный расчет ;нет теста;
Лицензия на проведение экспертизы;https://licenzii.org/moscow/licenziya-na-provedenie-ekspertizy/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии на проведение экспертизы под ключ?;Бесплатный расчет ;нет теста;
Аккредитация МЧС;https://licenzii.org/moscow/akkreditaciya-mchs/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  аккредитации МЧС под ключ?;Бесплатный расчет ;https://goo.gl/forms/NKbpBqwSzocbWSY63;
Разработка СТУ;https://licenzii.org/moscow/specialnye-tehnicheskie-usloviya-stu/;6;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Разработки СТУ  под ключ?;Бесплатный расчет ;нет теста;
Лицензия ФСТЭК;https://licenzii.org/moscow/licenziya-fstek/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии ФСТЭК под ключ?;Бесплатный расчет ;нет теста;
Лицензия ФСБ на гостайну;https://licenzii.org/moscow/licenziya-fsb-na-gostajnu/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии ФСБ на гостайну под ключ?;Бесплатный расчет ;https://goo.gl/forms/PlrWiLbJPzwDx8Zx2;
Аттестация оборудования НАКС;https://licenzii.org/moscow/attestaciya-oborudovaniya-naks/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  аттестации оборудования НАКС под ключ?;Бесплатный расчет ;нет теста;
Лицензия ОПО;https://licenzii.org/moscow/licenziya-opo/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  лицензии ОПО под ключ?;Бесплатный расчет ;нет теста;
Лицензия ИИИ;https://licenzii.org/moscow/licenziya-iii/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии ИИИ под ключ?;Бесплатный расчет ;нет теста;
Лицензия на металл;https://licenzii.org/moscow/licenziya-na-metall/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости лицензии на металл под ключ?;Бесплатный расчет ;нет теста;
Сертификаты ISO;https://licenzii.org/moscow/iso/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  Сертификата ISO под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат OHSAS 18001;https://licenzii.org/moscow/sertifikat-ohsas-18001/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  Сертификата OHSAS 18001 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ISO 9001;https://licenzii.org/moscow/sertifikat-iso-9001/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата ISO 9001 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ISO 14001;https://licenzii.org/moscow/sertifikat-iso-14001/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата ISO 14001 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ХАССП 22000;https://licenzii.org/moscow/sertifikat-hassp-22000/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата ХАССП 22000 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ISO 27001;https://licenzii.org/moscow/certifikat-iso-27001/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  Сертификата ISO 27001 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ИСО 51001;https://licenzii.org/moscow/sertifikat-iso-51001/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата ИСО 51001  под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Декларация таможенного союза;https://licenzii.org/moscow/deklaraciya-tamozhennogo-soyuza/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Декларации таможенного союза  под ключ?;Бесплатный расчет ;нет теста;
Сертификат таможенного союза;https://licenzii.org/moscow/sertifikat-tamozhennogo-soyuza/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата таможенного союза  под ключ?;Бесплатный расчет ;нет теста;
Сертификат ISO/TS 16949;https://licenzii.org/moscow/sertifikat-isots-16949/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата ISO/TS 16949 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ISO 29001;https://licenzii.org/moscow/sertifikat-iso-29001/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата ISO 29001 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ISO 22301;https://licenzii.org/moscow/sertifikat-iso-22301/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата ISO 22301 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ISO 22716;https://licenzii.org/moscow/sertifikat-iso-22716/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  Сертификата ISO 22716 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат ISO 13485;https://licenzii.org/moscow/sertifikat-iso-13485/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  Сертификата ISO 13485 под ключ?;Бесплатный расчет ;http://docs.google.com/forms/d/e/1FAIpQLSc6qOsi6qhO9Aqwg0ycUJAGKJtZjY9BpdIvQYz-LBBf2-klJg/viewform;
Сертификат деловой репутации;https://licenzii.org/moscow/sertifikat-delovoj-reputacii/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата деловой репутации под ключ?;Бесплатный расчет ;нет теста;
Сертификат РПО;https://licenzii.org/moscow/sertifikat-rpo/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата РПО под ключ?;Бесплатный расчет ;нет теста;
Сертификат РДИ;https://licenzii.org/moscow/sertifikat-rdi/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата РДИ под ключ?;Бесплатный расчет ;нет теста;
Сертификат СТ-1;https://licenzii.org/moscow/sertifikat-st-1/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Сертификата СТ-1 под ключ?;Бесплатный расчет ;нет теста;
Технические условия;https://licenzii.org/moscow/tehnicheskie-usloviya-tu/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости ТУ под ключ?;Бесплатный расчет ;нет теста;
Паспорт MSDS;https://licenzii.org/moscow/pasport-msds/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  Паспорта MSDS под ключ?;Бесплатный расчет ;нет теста;
Паспорт качества на продукцию;https://licenzii.org/moscow/pasport-kachestva-na-produkciyu/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Паспорта качества на продукцию  под ключ?;Бесплатный расчет ;нет теста;
Отказное письмо пожарной безопасности;https://licenzii.org/moscow/otkaznoe-pismo-pozharnoj-bezopasnosti/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Отказного письма пожарной безопасности под ключ?;Бесплатный расчет ;нет теста;
Протокол испытания на продукцию;https://licenzii.org/moscow/protokol-ispytaniya-na-produkciyu/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Протокола испытания на продукцию под ключ?;Бесплатный расчет ;нет теста;
Европейский сертификат качества СЕ;https://licenzii.org/moscow/sertifikat-se/;7;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Европейского сертификата качества СЕ под ключ?;Бесплатный расчет ;нет теста;
Добровольный пожарный сертификат;https://licenzii.org/moscow/dobrovolnyj-pozharnyj-sertifikat/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Добровольного пожарного сертификата под ключ?;Бесплатный расчет ;нет теста;
Готовые фирмы;https://licenzii.org/moscow/gotovye-firmy/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости Готовой фирмы под ключ?;Бесплатный расчет ;нет теста;
Курсы для бухгалтеров;https://licenzii.org/moscow/kursy-dlya-buhgalterov/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости курсов для бухгалтеров?;Бесплатный расчет ;https://goo.gl/rJbWHX;
Курсы для педагогов;https://licenzii.org/moscow/kursy-dlya-pedagogov/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  курсов для педагогов?;Бесплатный расчет ;https://goo.gl/rJbWHX;
Курсы для юристов;https://licenzii.org/moscow/kursy-dlya-yuristov/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  курсов для юристов?;Бесплатный расчет ;https://goo.gl/rJbWHX;
Курсы первой помощи;https://licenzii.org/moscow/kursy-pervoj-pomoshi/;10;Расчет стоимости за 1 минуту;Хотите получить полный расчет стоимости  курсов первой помощи?;Бесплатный расчет ;https://goo.gl/rJbWHX;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
